#FamilyID	pvalue	Significant at 0.05
OG0001751	0.001	y
OG0001752	0	y
OG0001753	0.002	y
OG0001754	0	y
OG0001755	0.004	y
OG0001756	0.004	y
OG0001757	0	y
OG0001758	0.011	y
OG0001759	0.001	y
OG0001760	0.006	y
OG0001761	0	y
OG0001762	0	y
OG0001763	0	y
OG0001764	0.011	y
OG0001765	0.004	y
OG0001768	0.031	y
OG0001769	0	y
OG0001770	0	y
OG0001771	0.011	y
OG0001772	0	y
OG0001773	0.004	y
OG0001775	0	y
OG0001776	0	y
OG0001777	0.001	y
OG0001779	0.006	y
OG0001781	0	y
OG0001782	0.03	y
OG0001783	0.001	y
OG0001784	0	y
OG0001785	0	y
OG0001786	0.003	y
OG0001787	0	y
OG0001788	0	y
OG0001789	0	y
OG0001790	0	y
OG0001791	0	y
OG0001793	0	y
OG0001795	0	y
OG0001799	0	y
OG0001800	0	y
OG0001802	0	y
OG0001803	0	y
OG0001805	0.002	y
OG0001807	0	y
OG0001808	0	y
OG0001809	0	y
OG0001812	0	y
OG0001823	0	y
OG0001824	0.004	y
OG0001825	0.001	y
OG0001826	0	y
OG0001827	0	y
OG0001828	0	y
OG0001829	0.011	y
OG0001830	0	y
OG0001831	0	y
OG0001832	0	y
OG0001833	0	y
OG0001835	0	y
OG0001836	0	y
OG0001837	0.004	y
OG0001838	0.021	y
OG0001839	0.002	y
OG0001840	0	y
OG0001841	0	y
OG0001842	0	y
OG0001843	0	y
OG0001845	0	y
OG0001847	0	y
OG0001848	0	y
OG0001849	0	y
OG0001850	0	y
OG0001851	0	y
OG0001854	0.007	y
OG0001856	0.001	y
OG0001857	0.024	y
OG0001858	0	y
OG0001859	0	y
OG0001861	0.002	y
OG0001862	0	y
OG0001864	0.005	y
OG0001865	0	y
OG0001867	0	y
OG0001869	0.006	y
OG0001870	0	y
OG0001873	0	y
OG0001874	0	y
OG0001877	0	y
OG0001878	0	y
OG0001879	0.004	y
OG0001880	0	y
OG0001882	0.009	y
OG0001883	0	y
OG0001884	0.001	y
OG0001888	0	y
OG0001904	0	y
OG0001906	0.002	y
OG0001907	0.032	y
OG0001908	0.004	y
OG0001910	0.007	y
OG0001911	0.011	y
OG0001913	0	y
OG0001914	0.001	y
OG0001916	0	y
OG0001917	0.002	y
OG0001919	0.001	y
OG0001920	0	y
OG0001921	0.013	y
OG0001922	0.002	y
OG0001924	0.015	y
OG0001925	0	y
OG0001926	0.009	y
OG0001927	0.003	y
OG0001928	0	y
OG0001929	0	y
OG0001931	0	y
OG0001932	0	y
OG0001933	0.005	y
OG0001934	0	y
OG0001935	0.001	y
OG0001936	0	y
OG0001937	0.011	y
OG0001939	0.028	y
OG0001940	0	y
OG0001941	0.005	y
OG0001943	0.007	y
OG0001944	0	y
OG0001945	0.004	y
OG0001946	0	y
OG0001948	0	y
OG0001950	0	y
OG0001951	0.015	y
